tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan
AISY FARMA APOTEK KDR,JL. KARTINI NO. 18A KEL. MARGOMULYO KEC. NGAWI,Ngawi,Jawa Timur
AISYIYAH BJN RSAB SBY,JL. KH.HASYIM ASYARI NO. 17,Bojonegoro,Jawa Timur
AISYIYAH BOJONEGORO RS,JL. KH. HASYIM ASYARI NO. 17,Bojonegoro,Jawa Timur
AISYIYAH BOJONEGORO RS,"Jl. KH. HASYIM ASYARI NO.17 KEL. KAUMAN KEC. BOJONEGORO, BOJONEGORO 62111, JAWA TIMUR",Bojonegoro,Jawa Timur
AISYIYAH KUDUS RS,"Jl. HOS COKROAMINOTO NO. 248 KEL. MLATI NOROWITO KEC. KUDUS KOTA, KUDUS (KAB) 59319, JAWA TENGAH",Kota Surabaya,Jawa Timur
AISYIYAH KUDUS RS,JL. HOS COKROAMINOTO NO. 248,Kota Surabaya,Jawa Timur
AISYIYAH NGANJUK RSI,JL. IMAM BONJOL NO. 20 PAYAMAN,Nganjuk,Jawa Timur
AISYIYAH PEKAJANGAN RSK,"Jl. RAYA PEKAJANGAN NO. 610 KEL. PEKAJANGAN KEC. KEDUNGWUNI, PEKALONGAN (KAB) 51173, JAWA TENGAH",Kota Surabaya,Jawa Timur
AISYIYAH PONOROGO RSU KDR,JL.DR.SUTOMO NO.18,Ponorogo,Jawa Timur
AISYIYAH RSI,JL.SULAWESI 16 MALANG,Malang,Jawa Timur
AISYIYAH RSI MALANG,"SULAWESI NO.16, JL",Kota Malang,Jawa Timur
AISYIYAH RSU INST,JL DR SOETOMO NO 18-24 PONOROGO,Ponorogo,Jawa Timur
AISYIYAH RSU PONOROGO,JL DR SUTOMO NO 18 - 24 KELURAHAN BANGUNSARI KECAMATAN PONOROGO,Ponorogo,Jawa Timur
AISYIYAH SITI FATIMAH RS SDO,JL RAYA KENONGO NO.14 TULANGAN,Sidoarjo,Jawa Timur
AJIBARANG RSUD,JL. RAYA PANCASAN NO.1 KELURAHAN AJI BARANG WETAN KECAMATAN AJIBARANG,Banyumas,Jawa Tengah
AKA APOTEK,JL.KERTOPATEN NO.1 D SURABAYA,Kota Surabaya,Jawa Timur
AKA APOTEK LENY KARMILA NOR AROFA,"JL. KERTOPATEN NO.1D, SIDODADI, SIMOKERTO, SURABAYA",Kota Surabaya,Jawa Timur
AKADEMIK UGM RS,JL KABUPATEN (LINGKAR UTARA) KRONGGAHAN KECAMATAN GAMPING KELURAHAN TRIHANGGO,Sleman,Daerah Istimewa Yogyakarta
AKBAR FARMA APOTEK,JL. RAYA BENDUS-MAOSPATI NO.203 DS.BENDO MAGETAN,Magetan,Jawa Timur
AKORDION APOTEK,"JL. AKORDION UTARA, RUKO PERMATA AKORDION KAV. 5 TUNGGULWULUNG KOTA MALANG",Kota Malang,Jawa Timur
AL AFIYAH APOTEK,JL. RAYA DESA KARANGGAYAM I RT.01 RW.01 SRENGAT BLITAR,Blitar,Jawa Timur
AL AMIN 1 APOTEK,JL RAYA SITUBONDO 05 JURANGSAPI TAPEN,Situbondo,Jawa Timur
AL AMIN APOTEK,JL.IMAM BONJOL PERTOKOAN PJKA NO.3 BONDOWOSO,Bondowoso,Jawa Timur
AL AMIN APOTEK,IMAM BONJOL PERTKN. PJKA No.3,Bondowoso,Jawa Timur
AL AMIN APOTEK,JL. IMAM BONJOL PERTOKOAN PJKA NO.3,Bondowoso,Jawa Timur
AL AMIN BONDOWOSO APOTEK BONDOWOSO,JL. IMAM BONJOL PERTOKOAN PJKA NO.3,Bondowoso,Jawa Timur
AL AMIN DR SYAIFULLOH APOTEK,JL.RAYA PERAK BLOK F NO.39 JOMBANG,Jombang,Jawa Timur
AL AZIZ KLINIK,JL ERLANGGA PURWOREJO,Kota Pasuruan,Jawa Timur
AL AZIZ RS,JL RAYA TEMBELANG KM 15 JOMBANG,Jombang,Jawa Timur
AL AZIZIYAH APOTEK,JL.RY MUNGGUGINTI-BENJENG,Gresik,Jawa Timur
AL AZIZIYAH APOTEK,GRESIK,Gresik,Jawa Timur
AL AZIZIYAH APOTEK,JL. RAYA MUNGGUGIANTI BENJENG,Gresik,Jawa Timur
AL FALAH APOTEK,JL. RAYA SIMOREJO NO. 27,Kota Surabaya,Jawa Timur
AL FALAH APOTEK,SURABAYA,Kota Surabaya,Jawa Timur
AL FARUQ APOTEK,DS WOTGALEH RT/RW 02/01 DS.WALIKUKUN KEC WIDODAREN NGAWI,Ngawi,Jawa Timur
AL FARUQ APOTEK,NGAWI,Ngawi,Jawa Timur
AL HAFIY APOTEK,JL.TROWULAN 57 MOJOKERTO,Mojokerto,Jawa Timur
AL HAFIY APOTEK,MOJOKERTO,Mojokerto,Jawa Timur
AL HAFIY APOTEK,JL.BRAWIJAYA NO.9 TROWULAN,Mojokerto,Jawa Timur
AL HAFIY APOTEK,JL BRAWIJAYA NO 9,Mojokerto,Jawa Timur
